fileName	overlap	not_overlap	random.overlap.mean	random.overlap.sd	random.not_overlap.mean	random.not_overlap.sd	ratio	odd_ratio	pvalue.chisqaure	pvalue.fisher
E116_15_coreMarks_mnemonics.12_EnhBiv	2	340	0	0.699205898780101	341	0.699205898780101	Inf	Inf	0.480143684448805	0.499267935578331
E116_15_coreMarks_mnemonics.11_BivFlnk	2	340	0	0	342	0	Inf	Inf	0.478856560961331	0.499267935578331
E116_15_coreMarks_mnemonics.2_TssAFlnk	16	326	6	1.49071198499986	336	1.49071198499986	2.66666666666667	2.74846625766871	0.0511249656338907	0.0487568726580701
E116_15_coreMarks_mnemonics.15_Quies	167	175	227	8.21651453544087	114	8.21651453544087	0.73568281938326	0.479244808055381	3.94712636891738e-06	3.2025643004487e-06
E116_15_coreMarks_mnemonics.9_Het	15	327	10	2.50333111406914	331	2.50333111406914	1.5	1.51834862385321	0.419321841920583	0.415625449519859
E116_15_coreMarks_mnemonics.1_TssA	23	319	4	1.75119007154183	337	1.75119007154183	5.75	6.07445141065831	0.000420435787431924	0.000238449358381507
E116_15_coreMarks_mnemonics.4_Tx	8	334	12	4.22821212544709	329	4.22821212544709	0.666666666666667	0.656686626746507	0.491761578004014	0.375807327941425
E116_15_coreMarks_mnemonics.8_ZNF_Rpts	2	340	2	0.97182531580755	339	0.97182531580755	1	0.997058823529412	1	1
E116_15_coreMarks_mnemonics.10_TssBiv	0	342	0	0.316227766016838	341	0.316227766016838	NA	NA	NA	1
E116_15_coreMarks_mnemonics.7_Enh	26	316	10	3.62246079650591	331	3.62246079650591	2.6	2.72341772151899	0.0104796566384752	0.00931473303927667
E116_15_coreMarks_mnemonics.14_ReprPCWk	37	305	31	6.07453701939498	310	6.07453701939498	1.19354838709677	1.21311475409836	0.531145233283014	0.523123604335738
E116_15_coreMarks_mnemonics.6_EnhG	0	342	1	0.737864787372622	340	0.737864787372622	0	0	0.998830937223979	0.499267935578331
E116_15_coreMarks_mnemonics.13_ReprPC	9	333	1	1.34989711542111	340	1.34989711542111	9	9.18918918918919	0.0260599263619072	0.020591548279839
E116_15_coreMarks_mnemonics.3_TxFlnk	2	340	1	0.918936583472681	340	0.918936583472681	2	2	0.999999999999974	1
E116_15_coreMarks_mnemonics.5_TxWk	40	302	34	3.68329562574967	307	3.68329562574967	1.17647058823529	1.19594857810674	0.547039786461885	0.538469573102926
